サイト,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),地目,都市計画,再建築可否,再建築理由,検出日,フラグ,詳細URL,判定
SUUMO 土地 三島市,静岡県三島市旭ヶ丘,1100,209.4,17.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_72411246/,不適合
SUUMO 土地 三島市,静岡県三島市大場,1180,84.3,46.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_74208955/,不適合
SUUMO 土地 三島市,静岡県三島市大場,1200,84.3,47.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20848997/,不適合
SUUMO 土地 三島市,静岡県三島市青木,1200,113.9,34.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20915485/,不適合
SUUMO 土地 三島市,静岡県三島市東大場１,1380,208.1,21.9,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,NG:東大場,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78363513/,不適合
SUUMO 土地 三島市,静岡県三島市谷田,1380,184.8,24.7,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20045162/,不適合
SUUMO 土地 三島市,静岡県三島市若松町,1380,242.1,18.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_73151079/,不適合
SUUMO 土地 三島市,静岡県三島市文教町２,1500,170.1,29.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20396860/,不適合
SUUMO 土地 三島市,静岡県三島市徳倉４,1550,175.1,29.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_76386248/,不適合
SUUMO 土地 三島市,静岡県三島市萩50-1,1680,128.8,43.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_21034695/,不適合
SUUMO 土地 三島市,静岡県三島市谷田1296,1680,151.1,36.8,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20353254/,不適合
SUUMO 土地 三島市,静岡県三島市谷田,1780,177.6,33.1,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78293692/,不適合
SUUMO 土地 三島市,静岡県三島市谷田1349-1,1780,202.1,29.1,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20623244/,不適合
SUUMO 土地 三島市,静岡県三島市谷田字西ノ久保５８９番外,1840,173.2,35.1,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78043370/,不適合
SUUMO 土地 三島市,静岡県三島市青木245-4,1845,140.3,43.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20224942/,不適合
